Proyecto,Ha
GGL2,2202.34065421
GGL2,1395.38148481
GGL2,1887.07877928
GGL2,136.973737975
GGL2,3334.80757407
GGL2,1509.07504932
GGL2,15.1584303373
GGL2,129.268961998
GGL2,35.0966492923
GGL2,1170.74335009
GGL2,34.733583959
GGL2,1459.42705
GGL2,7615.67342251
GGL2,302.011794806
GGL2,3637.21171489
GGL2,0.0667560900209
GGL2,2.21525266062
GGL2,860.919003991
GGL2,7055.35523473
GGL2,1184.39891426
GGL2,314.368006015
GGL2,260.35198767
GGL2,107.976590501
GGL2,29082.9434083
GGL2,436.247492951
GGL2,25.1918551357
GGL2,2051.96849121
GGL2,1914.5827749
GGL2,31.3562901265
GGL2,11575.803314
GGL2,78.2807531694
GGL2,26728.8588237
