OBJECTID,FID_Cov201,CobVeg2013,Simbolo,Fisiogr,Shape_Leng,CV_Label,FID_AreaBo,OBJECTID_1,Id,Nombre,Superficie,Perimetro,ZF_Interno
104297,96740,Bosque de terraza alta,Bta,Terraza alta,16054.9470122,Bta,2,0,0,Consolidado 01,475.739190263,1037283.23724,Bosque Alto
104298,96741,Bosque de terraza alta,Bta,Terraza alta,12458.0281416,Bta,2,0,0,Consolidado 01,100.960876649,1037283.23724,Bosque Alto
104299,96744,Bosque de terraza alta,Bta,Terraza alta,19630.3009913,Bta,2,0,0,Consolidado 01,410.230078691,1037283.23724,Bosque Alto
104302,96769,Bosque de terraza alta,Bta,Terraza alta,86668.4632604,Bta,2,0,0,Consolidado 01,4002.38014648,1037283.23724,Bosque Alto
104303,96776,Bosque de terraza alta,Bta,Terraza alta,80542.3017918,Bta,2,0,0,Consolidado 01,4037.18382748,1037283.23724,Bosque Alto
105330,105087,Bosque de colina baja,Bcb,Colina baja,9996872.68524,Bcb,2,0,0,Consolidado 01,92381.535061,1037283.23724,Bosque Alto
105331,105087,Bosque de colina baja,Bcb,Colina baja,9996872.68524,Bcb,3,0,0,Consolidado 01,2515.93392305,33585.7566503,Bosque Alto
105333,105087,Bosque de colina baja,Bcb,Colina baja,9996872.68524,Bcb,5,0,0,Consolidado 01,597.600374745,54883.4815891,Bosque Alto
105334,105087,Bosque de colina baja,Bcb,Colina baja,9996872.68524,Bcb,6,0,0,Consolidado 01,21035.9630287,176543.961891,Bosque Alto
2,0,Bosque de colina baja,Bcb,Colina baja,0,Bcb,0,0,0,San regis,27268.3795342,126315.199762,Bosque Alto
104300,96748,Bosque de terraza alta,Bta,Terraza alta,0,Bta,0,0,0,Consolidado 2,210.344737935,381570.284452,Bosque Alto
104301,96750,Bosque de terraza alta,Bta,Terraza alta,0,Bta,0,0,0,Consolidado 2,375.754885302,381570.284452,Bosque Alto
105328,105087,Bosque de colina baja,Bcb,Colina baja,0,Bcb,0,0,0,Consolidado 2,30033.5291724,381570.284452,Bosque Alto
