HA,CONTRATO_1,comprado,py_carbono,nombre
16866.0698679,16-LOR-MAY/CON-MAD-2019-009   (Anexo 1),Oroza,Loreto 2,Tacsha 10
35561.8841976,16-LOR-MAY/CON-MAD-2019-009   (Anexo 2),Oroza,Loreto 2,Tacsha 10
30199.6950897,16-IQU/C-J-238-04,Netrimac,Loreto 2,Tacsha 13
57339.2785836,16-IQU/D-C-001-12,Consorcio GGF Group,Loreto 1,Tacsha 2
51697.0782936,16-IQU/C-J-170-04,Consorcio GGF Group,Loreto 1,Tacsha 1
30010.4819812,16-LOR-MAY/CON-MAD-2018-005,Consorcio GGF Group,Loreto 1,Tacsha 9
46418.1288205,16-LOR-MAY/CON-MAD-2018-006,Consorcio GGF Group,Loreto 1,Tacsha 6
5308.05885937,16-IQU/C-J-171-04,Consorcio GGF Group,Loreto 1,Tacsha 3
4630.19918741,16-LOR-MAY/CON-MAD-2018-010,Consorcio GGF Group,Loreto 2,Tacsha 4
6789.6133375,16-LOR-MAY/CON-MAD-2018-008,Consorcio GGF Group,Loreto 1,Tacsha 8
9548.14320087,16-LOR-MAY/CON-MAD-2018-009,Consorcio GGF Group,Loreto 1,Tacsha 7
29125.120376,16-IQU/C-J-099-04,Consorcio GGF Group,Loreto 1,San Regis
11366.7340333,16-LOR-MAY/CON-MAD-2021-018,Oroza,Loreto 2,Tacsha 12
47952.1759503,16-LOR-MAY/CON-MAD-2017-024,Oroza,Loreto 2,Tacsha 11
12067.3681276,16-LOR-MAY/CON-MAD-2018-007,Consorcio GGF Group,Loreto 2,Tacsha 5
