CobVeg2013,Fisiogr,Nombre,Superficie,Perimetro
Bosque de colina baja,Colina baja,San regis,21763.7563656,95828.470102
Bosque de terraza alta,Terraza alta,Consolidado 01,475.739190263,18686.6694018
Bosque de terraza alta,Terraza alta,Consolidado 01,100.960876649,5086.21492126
Bosque de terraza alta,Terraza alta,Consolidado 01,410.230078691,13821.0055251
Bosque de terraza alta,Terraza alta,Consolidado 01,4002.38014648,84089.8801525
Bosque de terraza alta,Terraza alta,Consolidado 01,4037.18382748,45884.5793174
Bosque de colina baja,Colina baja,Consolidado 01,92381.535061,833498.601315
Bosque de colina baja,Colina baja,Consolidado 01,2515.93392305,25044.2310756
Bosque de colina baja,Colina baja,Consolidado 01,597.600374745,23556.391076
Bosque de colina baja,Colina baja,Consolidado 01,21035.9630287,166758.797344
Bosque de terraza alta,Terraza alta,Consolidado 2,210.344737935,7883.46486703
Bosque de terraza alta,Terraza alta,Consolidado 2,375.754885302,8025.08893366
Bosque de colina baja,Colina baja,Consolidado 2,30033.5291724,320722.306296
